Bezeichnung	FERIX-Bezeichnung		NL520	NL780	NL1040	NL1300	NL1560	NL1820	NL2080	NL2340	NL2600	NL2860	NL3120	NL3380	NL3640	NL3900	NL4160	none	1 x diff	1 x coax 	2 x diff	diff+coax
		200dpi	NL512	NL768	NL1024	NL1280	NL1536	NL1792	NL2048	NL2304	NL2560	NL2816	NL3072	NL3328	NL3584	NL3840	NL4096					
L-Winkel	MG_MOCIS_LWI_NLXXXX_SX_X.X		8115	8628	8116	8117	8118	-1	-2	-3	-4	-5	-6	-7	-8	-9	5431	1	1	1	1	1
Verschlußplatte	MG_MOCIS_VSP_STD_SX_2.0		4888	4888	4888	4888	4888	4888	4888	4888	4888	4888	4888	4888	4888	4888	4888	1	1	1	0	0
Verschlußplatte DL	MG_MOCIS_VSPDL_STD_SX_2.0		4798	4798	4798	4798	4798	4798	4798	4798	4798	4798	4798	4798	4798	4798	4798	0	0	0	1	1
Verschlußplatte Power	MG_MOCIS_VSPP_STD_SX_2.0		4889	4889	4889	4889	4889	4889	4889	4889	4889	4889	4889	4889	4889	4889	4889	1	1	1	0	0
Verschlußplatte Power DL	MG_MOCIS_VSPPDL_STD_SX_2.0		4794	4794	4794	4794	4794	4794	4794	4794	4794	4794	4794	4794	4794	4794	4794	0	0	0	1	1
Deckel	MG_MOCIS_DECK_NLXXXX_SX_2.0		6712	-10	4891	5758	5622	-11	-12	-13	-14	-15	-16	-17	-18	-19	5432	1	1	0	0	0
Deckel DL	MG_MOCIS_DECKDL_NLXXXX_SX_2.0		4843	-20	4796	7205	6502	-21	-22	-23	-24	-25	-26	-27	-28	-29	-30	0	0	0	1	0
Deckel EL	MG_MOCIS_DEINLI_NLXXXX_SX_2.0		-31	-32	6149	6307												0	0	1	0	0
Deckel ELDL	MG_MOCIS_DEINDL_NLXXXX_SX_2.0		-33	-34	-35	-36												0	0	0	0	1
Fenster	MG_MOCIS_FENS_NLXXXX_U_2.0		6713	-37	4892	5759	5623	-38	-39	-40	-41	-42	-43	-44	-45	-46	5435	1	1	0	0	0
Fenster DL	MG_MOCIS_FENSDL_NLXXXX_U_2.0		4844	-47	4797	7206	6503	-48	-49	-50	-51	-52	-53	-54	-55	-56	-57	0	0	0	1	0
Fenster EL	MG_MOCIS_FEINLI_NLXXXX_U_2.0		-80	-81	6150	6311												0	0	1	0	0
Fenster ELDL	MG_MOCIS_FEINDL_NLXXXX_U_2.0		-58	-59	-60	-61												0	0	0	0	1
Linsenhalter	MG_MOCIS_LHS_NLXXXX_SX_2.0		6480	-62	4890	5757	5621	-63	-64	-65	-66	-67	-68	-69	-70	-71	-72	1	1	1	0	0
U-Power-Seite	MG_MOCIS_UPS_STD_SX_2.0		4884	4884	4884	4884	4884	4884	4884	4884	4884	4884	4884	4884	4884	4884	4884	1	1	1	0	0
U-Power-Seite DL	MG_MOCIS_UPSDL_STD_SX_2.0		4790	4790	4790	4790	4790	4790	4790	4790	4790	4790	4790	4790	4790	4790	4790	0	0	0	1	1
U-nicht Power-Seite	MG_MOCIS_UNPS_STD_SX_2.0		4887	4887	4887	4887	4887	4887	4887	4887	4887	4887	4887	4887	4887	4887	4887	1	1	1	0	0
U-nicht Power-Seite DL	MG_MOCIS_UNPSDL_STD_SX_2.0		4795	4795	4795	4795	4795	4795	4795	4795	4795	4795	4795	4795	4795	4795	4795	0	0	0	1	1
U-FPGA	MG_MOCIS_UFPGA_STD_SX_2.0		4886	4886	4886	4886	4886	4886	4886	4886	4886	4886	4886	4886	4886	4886	4886	F	F	F	0	0
U-FPGA DL	MG_MOCIS_UFPGADL_STD_SX_2.0		4792	4792	4792	4792	4792	4792	4792	4792	4792	4792	4792	4792	4792	4792	4792	0	0	0	F	0
Camera-Link-Blech	MG_MOCIS_CALIBL_STD_SX_1.0		4789	4789	4789	4789	4789	4789	4789	4789	4789	4789	4789	4789	4789	4789	4789	F	F	F	F	F
U-Profil	MG_MOCIS_U_STD_SX_2.0		4885	4885	4885	4885	4885	4885	4885	4885	4885	4885	4885	4885	4885	4885	4885	S-F	S-F	S-F	0	0
U-Profil DL	MG_MOCIS_UDL_STD_SX_2.0		4791	4791	4791	4791	4791	4791	4791	4791	4791	4791	4791	4791	4791	4791	4791	0	0	0	S-F	S-F
Lichtklotz	MG_MOCIS_LIKLO_STD_SX_1.0		4801	4801	4801	4801	4801	4801	4801	4801	4801	4801	4801	4801	4801	4801	4801	2	2	2	2	2
Platinenführung	MG_MOCIS_PF1000_STD_U_1.0		4377	4377	4377	4377	4377	4377	4377	4377	4377	4377	4377	4377	4377	4377	4377	S/4	1+((S-1)/4)	1+((S-1)/4)	1+((S-1)/4)	1+((S-1)/4)
Halter Verbindungsstück	MG_MOCIS_HAVBS_STD_SX_1.1		5014	5014	5014	5014	5014	5014	5014	5014	5014	5014	5014	5014	5014	5014	5014	S + 1	S + 1	S + 1	S + 1	S + 1
Verbindungsstück 200dpi	MG_MOCIS_VBSADC2_STD_SX_1.2	200dpi	5012	5012	5012	5012	5012	5012	5012	5012	5012	5012	5012	5012	5012	5012	5012	S + 1 	S + 1	S + 1	S + 1 	S + 1 
Verbindungsstück nicht 200dpi	MG_MOCIS_VBSADC_STD_SX_1.1	!200dpi	4619	4619	4619	4619	4619	4619	4619	4619	4619	4619	4619	4619	4619	4619	4619	S + 1	S + 1	S + 1 	S + 1	S + 1
Unterstützung Sens 200dpi	MG_MOCIS_UNSE2_STD_SX_1.1	200dpi	5397	5397	5397	5397	5397	5397	5397	5397	5397	5397	5397	5397	5397	5397	5397	S -1	S  -1	S  -1	S  -1	S  -1
Unterstützung Sens nicht 200dpi	MG_MOCIS_UNSE_STD_SX_1.1	!200dpi	5396	5396	5396	5396	5396	5396	5396	5396	5396	5396	5396	5396	5396	5396	5396	S -1	S  -1	S  -1	S  -1	S -1
Tageslichtabdeckung	MG_MOCIS_TLAB_NLXXXX_SX_2.0		6714	-73	5321	5920	5625	-74	-75	-76	-77	-78	-79	-80	-81	-82	-83	1	0	0	0	0
LED-Halter	MG_MOCIS_LEDHA_STD_SX_2.0		4787	4787	4787	4787	4787	4787	4787	4787	4787	4787	4787	4787	4787	4787	4787	0	L*(S+1)	0	L*(S+1)/2	0
LED-Halter DL	MG_MOCIS_LEDHADL_STD_SX_1.0		4370	4370	4370	4370	4370	4370	4370	4370	4370	4370	4370	4370	4370	4370	4370	0	0	0	L*(S+1)/2	L*(S+1)/2
Glasstabhalter	MG_MOCIS_GLAHA_STD_SX_1.0		4371	4371	4371	4371	4371	4371	4371	4371	4371	4371	4371	4371	4371	4371	4371	0	L*(S+1)	0	L*(S+1)	L*(S+1)/2
Halter Glasstabhalter	MG_MOCIS_HAGLAHA_STD_SX_2.0		4788	4788	4788	4788	4788	4788	4788	4788	4788	4788	4788	4788	4788	4788	4788	0	L*(S+1)	0	L*(S+1)/2	L*(S+1)/2
Lichtabdeckung	MG_MOCIS_LIAB_STD_SX_2.0		4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	0	L*(S+1)	0	L*(S+1)/2	L*(S+1)/2
Glasstab	HZ_RD_015_GL_U_GEK_260		4555	4555	4555	4555	4555	4555	4555	4555	4555	4555	4555	4555	4555	4555	4555	0	L*(S+1)	0	L*(S+1)	L*(S+1)/2
Unterstützung Beleuchtung	MG_MOCIS_UNBEL_NLXXXX_SX_1.0		4841	-84	4369	4658	6504	-85	-86	-87	-88	-89	-90	-91	-92	-93	-94	0	0	0	1	0
Beleuchtung U-Profil	MG_MOCIS_BELU_NLXXXX_SX_2.0		4845	-95	4799	7242	6505	-96	-97	-98	-99	-100	-101	-102	-103	-104	-105	0	0	0	1	0
U-Profil eingespiegeltes Licht	MG_MOCIS_UEINLI_NLXXXX_SX_2.0		-106	-107	6152	6310												0	0	1	0	1
Unterstützung LILEI	MG_MOCIS_ULILEI_STD_U_2.0		6319	6319	6319	6319												0	0	S-1	0	S-1
Halter Umlenkspiegel	MG_MOCIS_HAULSP_STD_SX_1.0		4638	4638	4638	4638												0	0	S	0	0
Umlenkspiegel	MG_MOCIS_ULSP_NLXXXX_U_2.0		-108	-109	6151	6308												0	0	1	0	1
Lichtleiter	MG_MOCIS_LILEI_NLXXXX_U_2.0		-110	-111	6154	6309												0	0	1	0	1
Halter Lichtleiter	MG_MOCIS_HALILEI_STD_SX_2.0		5425	5425	5425	5425												0	0	2	0	2
Selfoc-Linse	O_TC54_09AG		7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	N + 4	N + 4	N + 4	N + 4	N + 4
Druckluftanschluß	MK_DRULUAN_M5_G		4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	1	1	1	1	1
Temperaturindikator	X_TEMPINDI_12x32x93°		3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	1	1	1	1	1
Shockwatch	X_Shockwatch_37G_Clip		5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	2	2	2	2	2
Shockwatch	X_Shockwatch_37G_Label		5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	1	1	1	1	1
Staubschutzkappe SUBD	X_09_STAUBSCHUKAP_SUBD		4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	1	1	1	1	1
Staubschutzkappe CL	X_26_STAUBSCHUKAP_CL		5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	1	1	1	1	1
Montagewürfel	MM_MOWÜ_2M3_10x10x10		4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	0	0	0	S	0
Satz Bolzen für SUB-D-Stecker	MM_IA_UNC4-40_3.3_VZ		3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3	3	3	3	3
Bolzen für Cameralink-Stecker	MM_IA_UNC4-40_3.3_CL_VZ		3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	F * 4	F * 4	F * 4	F * 4	F * 4
